investor_id,avg_gap_days,max_gap_days,is_at_risk
INV004154,46.72727272727273,90.0,1
INV000612,49.3,169.0,1
INV000676,35.3,106.0,1
INV001673,49.3,181.0,1
INV001753,42.8,128.0,1
INV002712,46.8,174.0,1
INV003650,33.9,86.0,1
INV004289,45.9,201.0,1
INV004410,40.9,138.0,1
INV004427,50.8,125.0,1
INV000069,49.111111111111114,129.0,1
INV000086,44.666666666666664,167.0,1
INV000265,53.44444444444444,140.0,1
INV000399,49.55555555555556,68.0,1
INV000467,56.666666666666664,272.0,1
INV000493,47.55555555555556,201.0,1
INV000665,36.22222222222222,148.0,1
INV000853,49.333333333333336,193.0,1
INV000881,46.111111111111114,155.0,1
INV000977,48.77777777777778,147.0,1
INV001037,42.0,86.0,1
INV001314,50.44444444444444,130.0,1
INV001318,46.22222222222222,150.0,1
INV001406,47.666666666666664,202.0,1
INV001562,44.22222222222222,146.0,1
INV001649,51.666666666666664,120.0,1
INV001759,49.55555555555556,126.0,1
INV002069,47.55555555555556,95.0,1
INV002083,51.666666666666664,193.0,1
INV002304,42.55555555555556,104.0,1
INV002384,39.111111111111114,92.0,1
INV002389,50.77777777777778,126.0,1
INV002422,50.333333333333336,139.0,1
INV002475,49.666666666666664,119.0,1
INV002509,33.666666666666664,74.0,1
INV002552,48.22222222222222,184.0,1
INV002590,50.22222222222222,125.0,1
INV002744,52.888888888888886,139.0,1
INV002847,52.666666666666664,129.0,1
INV003304,44.22222222222222,180.0,1
INV003450,47.666666666666664,158.0,1
INV003495,49.22222222222222,121.0,1
INV003559,48.333333333333336,118.0,1
INV003635,47.111111111111114,95.0,1
INV003655,49.77777777777778,198.0,1
INV003771,50.77777777777778,130.0,1
INV003829,48.55555555555556,159.0,1
INV003892,55.22222222222222,114.0,1
INV003906,55.111111111111114,115.0,1
INV003964,51.22222222222222,130.0,1
INV004004,40.77777777777778,88.0,1
INV004023,52.0,93.0,1
INV004116,54.888888888888886,117.0,1
INV004135,50.111111111111114,164.0,1
INV004241,53.666666666666664,117.0,1
INV004326,40.111111111111114,78.0,1
INV004338,48.888888888888886,209.0,1
INV004737,54.55555555555556,120.0,1
INV004996,46.333333333333336,104.0,1
INV000030,47.625,100.0,1
INV000048,46.0,168.0,1
INV000073,48.25,112.0,1
INV000109,46.25,63.0,1
INV000148,52.0,168.0,1
INV000183,56.125,216.0,1
INV000201,51.125,100.0,1
INV000228,59.75,188.0,1
INV000279,43.375,133.0,1
INV000280,55.75,191.0,1
INV000328,37.5,73.0,1
INV000359,54.125,197.0,1
INV000388,53.625,119.0,1
INV000445,57.75,129.0,1
INV000452,49.375,123.0,1
INV000512,54.75,112.0,1
INV000546,55.0,154.0,1
INV000589,59.125,90.0,1
INV000596,51.75,140.0,1
INV000634,52.25,147.0,1
INV000642,53.5,139.0,1
INV000683,54.5,137.0,1
INV000698,52.25,219.0,1
INV000707,34.375,106.0,1
INV000714,37.0,95.0,1
INV000750,26.5,84.0,1
INV000751,53.0,193.0,1
INV000786,64.125,199.0,1
INV000854,61.25,170.0,1
INV000858,44.875,157.0,1
INV000865,45.75,99.0,1
INV000874,62.125,149.0,1
INV000935,30.875,73.0,1
INV001019,44.875,180.0,1
INV001060,53.375,89.0,1
INV001061,51.125,141.0,1
INV001064,59.5,160.0,1
INV001116,58.125,194.0,1
INV001210,36.875,93.0,1
INV001235,59.0,161.0,1
INV001295,50.75,165.0,1
INV001299,51.25,121.0,1
INV001308,54.625,147.0,1
INV001387,57.25,130.0,1
INV001442,57.125,238.0,1
INV001485,55.0,150.0,1
INV001497,63.0,138.0,1
INV001504,54.25,134.0,1
